19051010132
0, 15, 15, 2, 3, 2, 1, 4, 512
1, 18, 12, 5, 0, 2, 8, 2, 513
2, 20, 10, 6, 0, 1, 1, 3, 514
3, 13, 17, 6, 0, 1, 8, 2, 513
4, 14, 16, 3, 2, 0, 8, 1, 514
5, 14, 16, 4, 2, 1, 1, 3, 511
6, 13, 17, 5, 0, 1, 1, 4, 513
7, 12, 18, 5, 0, 1, 0, 3, 513
8, 12, 18, 5, 0, 2, 0, 2, 514
9, 21, 9, 3, 2, 1, 8, 1, 512
10, 12, 18, 2, 3, 3, 0, 3, 514
11, 13, 17, 1, 3, 3, 0, 3, 513
12, 20, 10, 2, 3, 3, 8, 1, 511
13, 22, 8, 3, 2, 1, 0, 0, 0
14, 22, 8, 3, 1, 2, 1, 3, 514
15, 13, 17, 3, 1, 2, 0, 3, 511
16, 22, 8, 4, 2, 1, 8, 1, 513
17, 21, 9, 4, 2, 2, 8, 1, 513
18, 20, 10, 3, 1, 2, 1, 4, 513
19, 21, 9, 3, 1, 2, 8, 1, 514
20, 20, 10, 3, 2, 1, 8, 2, 512
21, 11, 19, 5, 0, 3, 0, 2, 514
22, 25, 5, 4, 1, 1, 0, 1, 511
23, 10, 20, 4, 1, 1, 8, 2, 512
24, 19, 11, 3, 2, 1, 1, 2, 514
25, 19, 11, 4, 2, 3, 0, 1, 514
26, 14, 16, 4, 1, 1, 8, 3, 514
27, 19, 11, 4, 1, 1, 8, 2, 514
28, 24, 6, 3, 2, 1, 8, 1, 514
29, 14, 16, 6, 1, 0, 8, 2, 514
30, 21, 9, 5, 0, 3, 8, 2, 514
31, 19, 11, 3, 1, 1, 8, 2, 514
