19051010131
0, 13, 17, 1, 3, 3, 0, 3, 512
1, 20, 10, 1, 3, 3, 0, 4, 513
2, 11, 19, 3, 2, 3, 8, 4, 514
3, 21, 9, 6, 0, 3, 9, 1, 513
4, 9, 21, 5, 0, 2, 9, 3, 513
5, 12, 18, 1, 3, 3, 9, 3, 514
6, 14, 16, 5, 0, 1, 9, 1, 513
7, 20, 10, 5, 0, 3, 0, 3, 513
8, 11, 19, 5, 0, 2, 9, 3, 512
9, 20, 10, 4, 2, 2, 8, 3, 514
10, 19, 11, 6, 0, 3, 9, 1, 514
11, 13, 17, 4, 1, 1, 0, 5, 512
12, 14, 16, 5, 0, 3, 9, 2, 512
13, 19, 11, 5, 0, 3, 9, 2, 514
14, 10, 20, 6, 0, 3, 9, 3, 514
15, 22, 8, 3, 1, 1, 9, 2, 513
16, 25, 5, 4, 2, 2, 9, 1, 511
17, 12, 18, 5, 0, 3, 9, 2, 514
18, 14, 16, 3, 1, 1, 9, 3, 514
19, 23, 7, 6, 2, 0, 9, 1, 511
20, 19, 11, 6, 1, 0, 9, 2, 514
21, 12, 18, 6, 1, 0, 9, 3, 514
22, 14, 16, 4, 1, 1, 9, 3, 511
23, 21, 9, 6, 2, 0, 9, 3, 513
24, 11, 19, 6, 1, 0, 9, 2, 514
25, 18, 12, 6, 1, 0, 9, 3, 513
26, 15, 15, 4, 1, 1, 9, 2, 514
27, 19, 11, 5, 2, 0, 9, 3, 513
28, 16, 14, 4, 2, 2, 8, 2, 512
29, 14, 16, 6, 1, 0, 9, 3, 514
30, 21, 9, 4, 1, 1, 9, 2, 512
31, 22, 8, 5, 2, 0, 9, 2, 514
