19454414741
0, 14, 16, 3, 1, 0, 8, 1, 513
1, 13, 17, 4, 1, 1, 1, 4, 513
2, 15, 15, 4, 2, 2, 8, 3, 509
3, 20, 10, 2, 3, 0, 8, 2, 510
4, 18, 12, 2, 3, 0, 8, 1, 514
5, 11, 19, 2, 3, 0, 1, 4, 514
6, 19, 11, 4, 2, 2, 1, 4, 510
7, 13, 17, 1, 3, 0, 8, 3, 512
8, 14, 16, 3, 1, 1, 8, 2, 513
9, 13, 17, 1, 3, 0, 1, 4, 514
10, 20, 10, 3, 2, 2, 8, 2, 514
11, 21, 9, 4, 2, 1, 8, 1, 514
12, 13, 17, 5, 0, 0, 0, 2, 513
13, 21, 9, 1, 3, 0, 1, 3, 514
14, 18, 12, 5, 0, 0, 0, 2, 513
15, 24, 6, 3, 2, 1, 1, 3, 511
16, 13, 17, 5, 0, 0, 0, 2, 510
17, 18, 12, 1, 3, 1, 8, 2, 513
18, 15, 15, 4, 2, 1, 0, 2, 514
19, 21, 9, 2, 3, 2, 8, 2, 512
20, 10, 20, 5, 0, 0, 0, 2, 514
21, 17, 13, 6, 0, 0, 0, 2, 514
22, 16, 14, 5, 0, 0, 0, 3, 513
23, 14, 16, 2, 3, 2, 8, 3, 514
24, 19, 11, 5, 0, 0, 0, 2, 514
25, 21, 9, 1, 3, 1, 8, 2, 513
26, 10, 20, 5, 0, 0, 8, 3, 514
27, 19, 11, 4, 2, 3, 8, 3, 514
28, 26, 4, 1, 3, 0, 1, 2, 510
29, 19, 11, 3, 1, 2, 8, 3, 514
30, 21, 9, 3, 2, 3, 8, 3, 514
31, 18, 12, 2, 3, 2, 0, 2, 513
